,date,rainfall,cyc1,cyc2,cyc3,cyc4,lag_1,lag_2,lag_3,lag_4,weekly_ema,monthly_ema,rainfall_binary,total_orders
1588,2012-06-02,5.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,203.0,214.0,95.0,162.0,185.63193610539068,189.3620635777015,1,184.0
1589,2012-06-03,117.33333333333331,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,184.0,203.0,214.0,95.0,218.47395207904304,197.59676915333364,1,317.0
1590,2012-06-04,70.33333333333333,0.0,1.0,1.2246467991473532e-16,-1.0,317.0,184.0,203.0,214.0,209.35546405928227,196.59052598215084,1,182.0
1591,2012-06-05,86.0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,182.0,317.0,184.0,203.0,200.7665980444617,195.19758882201208,1,175.0
1592,2012-06-06,39.66666666666666,0.9749279121818236,-0.2225209339563143,1.2246467991473532e-16,-1.0,175.0,182.0,317.0,184.0,178.8249485333463,189.89451857543065,1,113.0
1593,2012-06-07,31.33333333333333,0.4338837391175582,-0.900968867902419,1.2246467991473532e-16,-1.0,113.0,175.0,182.0,317.0,173.61871140000972,187.8368076995964,1,158.0
1594,2012-06-08,23.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,158.0,113.0,175.0,182.0,171.7140335500073,186.42798139639663,1,166.0
1595,2012-06-09,27.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,166.0,158.0,113.0,175.0,181.53552516250545,188.0132729192098,1,211.0
1596,2012-06-10,2.6666666666666665,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,211.0,166.0,158.0,113.0,187.1516438718791,189.0446746663576,1,204.0
1597,2012-06-11,1.0,0.0,1.0,1.2246467991473532e-16,-1.0,204.0,211.0,166.0,158.0,204.61373290390927,193.42888920401197,1,257.0
1598,2012-06-12,78.0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,257.0,204.0,211.0,166.0,191.460299677932,190.7560576424628,1,152.0
1599,2012-06-13,3.333333333333333,0.9749279121818236,-0.2225209339563143,1.2246467991473532e-16,-1.0,152.0,257.0,204.0,211.0,178.845224758449,187.5459894074652,1,141.0
1600,2012-06-14,0.0,0.4338837391175582,-0.900968867902419,1.2246467991473532e-16,-1.0,141.0,152.0,257.0,204.0,173.13391856883675,185.5107642844029,0,156.0
1601,2012-06-15,77.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,156.0,141.0,152.0,257.0,197.6004389266276,191.02619884669951,1,271.0
1602,2012-06-16,42.66666666666666,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,271.0,156.0,141.0,152.0,190.45032919497064,189.6051537598157,1,169.0
1603,2012-06-17,0.0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,169.0,271.0,156.0,141.0,213.837746896228,195.6951438398276,0,284.0
1604,2012-06-18,116.66666666666669,0.0,1.0,1.2246467991473532e-16,-1.0,284.0,169.0,271.0,156.0,201.12831017217096,193.58577972112903,1,163.0
1605,2012-06-19,3.6666666666666665,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,163.0,284.0,169.0,271.0,178.59623262912822,188.25766490041104,1,111.0
1606,2012-06-20,0.0,0.9749279121818236,-0.2225209339563143,1.2246467991473532e-16,-1.0,111.0,163.0,284.0,169.0,171.69717447184615,185.85394458425552,0,151.0
1607,2012-06-21,0.0,0.4338837391175582,-0.900968867902419,1.2246467991473532e-16,-1.0,151.0,111.0,163.0,284.0,177.2728808538846,186.3794965465616,0,194.0
1608,2012-06-22,114.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,194.0,151.0,111.0,163.0,174.95466064041346,185.1937225758157,1,168.0
1609,2012-06-23,27.33333333333333,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,168.0,194.0,151.0,111.0,171.46599548031008,183.6328372483437,1,161.0
1610,2012-06-24,59.66666666666666,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,161.0,168.0,194.0,151.0,196.84949661023256,189.3984606516764,1,273.0
1611,2012-06-25,73.66666666666667,0.0,1.0,1.2246467991473532e-16,-1.0,273.0,161.0,168.0,194.0,206.3871224576744,192.34049544834244,1,235.0
1612,2012-06-26,0.0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,235.0,273.0,161.0,168.0,214.29034184325585,195.28626993554616,0,238.0
1613,2012-06-27,1.0,0.9749279121818236,-0.2225209339563143,1.2246467991473532e-16,-1.0,238.0,235.0,273.0,161.0,216.46775638244185,197.07425252034963,1,223.0
1614,2012-06-28,0.6666666666666666,0.4338837391175582,-0.900968867902419,1.2246467991473532e-16,-1.0,223.0,238.0,235.0,273.0,188.8508172868314,191.1984942932303,1,106.0
1615,2012-06-29,1.3333333333333333,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,106.0,223.0,238.0,235.0,203.13811296512355,194.7340753065703,1,246.0
